date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:23	186001/186001	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256fd27b9-2d691%22	http://kindeditor.net/ke4/kindeditor-all-min.js?t=20160331.js	E:/xaufe/kindeditor/kindeditor/kindeditor.net/ke4/kindeditor-all-min53a2.js	(from http://kindeditor.net/doc.php)
17:16:24	59295/59295	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:21%20GMT	http://kindeditor.net/docs/option.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/option.html	(from http://kindeditor.net/doc.php)
17:16:24	34477/34477	---MC-	200	added ('OK')	text/javascript	date:Fri,%2015%20Apr%202016%2008:17:31%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/xaufe/kindeditor/kindeditor/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://kindeditor.net/doc.php)
17:16:24	7265/7265	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:22%20GMT	http://kindeditor.net/docs/theme.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/theme.html	(from http://kindeditor.net/doc.php)
17:16:24	11138/11138	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:22%20GMT	http://kindeditor.net/docs/plugin.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/plugin.html	(from http://kindeditor.net/doc.php)
17:16:25	7719/7719	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:22%20GMT	http://kindeditor.net/docs/upload.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/upload.html	(from http://kindeditor.net/doc.php)
17:16:25	7033/7033	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:22%20GMT	http://kindeditor.net/docs/qna.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/qna.html	(from http://kindeditor.net/doc.php)
17:16:25	39731/39731	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:23%20GMT	http://kindeditor.net/docs/core.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/core.html	(from http://kindeditor.net/doc.php)
17:16:25	6046/6046	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:23%20GMT	http://kindeditor.net/docs/event.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/event.html	(from http://kindeditor.net/doc.php)
17:16:26	6836/6836	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:23%20GMT	http://kindeditor.net/docs/selector.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/selector.html	(from http://kindeditor.net/doc.php)
17:16:26	58319/58319	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Apr%202016%2009:22:23%20GMT	http://kindeditor.net/docs/node.html	E:/xaufe/kindeditor/kindeditor/kindeditor.net/docs/node.html	(from http://kindeditor.net/doc.php)
